Data,Reservatorio,Ni­vel,Precipitacao,Vazao,Cota Real,Cota area Volume,Vazao Defluente
2022-05-24 06:30:00,UHE ARAÇUAI,0.66,0,21.17,,,
2022-05-28 16:00:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-24 06:30:00,UHE JEQUITINHONHA,1.44,0,94.06,,,
2022-05-24 06:30:00,UHE ITIRA,0.43,0,72.16,,,
2022-05-28 15:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-28 16:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-28 17:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-28 18:00:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-28 18:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-28 19:00:00,UHE CORONEL MURTA,1.41,0,93.33,,,
2022-05-28 19:30:00,UHE CORONEL MURTA,1.41,0,93.33,,,
2022-05-28 20:00:00,UHE CORONEL MURTA,1.41,0,93.33,,,
2022-05-28 20:30:00,UHE CORONEL MURTA,1.41,0,93.33,,,
2022-05-28 21:00:00,UHE CORONEL MURTA,1.41,0,93.33,,,
2022-05-28 21:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-28 22:00:00,UHE CORONEL MURTA,1.41,0,93.33,,,
2022-05-28 22:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-28 23:00:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-28 23:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 00:00:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 00:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 01:00:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 01:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 02:00:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 02:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 03:00:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 03:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 04:00:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 04:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 05:00:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 06:00:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-24 06:30:00,UHE ITAPEBI BARRAMENTO,109.7,0,,109.7,1627.66,
2022-05-24 06:30:00,UHE SALTO DA DIVISA,4.06,0,121.03,,,
2022-05-29 07:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 08:00:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 08:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 09:00:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 09:30:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 10:00:00,UHE CORONEL MURTA,1.42,0,94.49,,,
2022-05-29 10:30:00,UHE CORONEL MURTA,1.43,0,95.66,,,
2022-05-29 11:00:00,UHE CORONEL MURTA,1.43,0,95.66,,,
2022-05-29 12:00:00,UHE CORONEL MURTA,1.43,0,95.66,,,
2022-05-29 12:30:00,UHE CORONEL MURTA,1.44,0,96.84,,,
2022-05-29 13:00:00,UHE CORONEL MURTA,1.44,0,96.84,,,
2022-05-29 13:30:00,UHE CORONEL MURTA,1.44,0,96.84,,,
2022-05-28 14:30:00,UHE ARAÇUAI,0.69,1.6,23,,,
2022-05-28 15:00:00,UHE ARAÇUAI,0.69,0,23,,,
2022-05-28 15:30:00,UHE ARAÇUAI,0.69,0.2,23,,,
2022-05-28 16:00:00,UHE ARAÇUAI,0.69,0,23,,,
2022-05-28 16:30:00,UHE ARAÇUAI,0.69,0,23,,,
2022-05-28 17:00:00,UHE ARAÇUAI,0.69,0,23,,,
2022-05-28 17:30:00,UHE ARAÇUAI,0.69,0,23,,,
2022-05-28 18:00:00,UHE ARAÇUAI,0.68,0,22.38,,,
2022-05-28 18:30:00,UHE ARAÇUAI,0.68,0,22.38,,,
2022-05-28 19:00:00,UHE ARAÇUAI,0.68,0,22.38,,,
2022-05-28 19:30:00,UHE ARAÇUAI,0.69,0,23,,,
2022-05-28 20:00:00,UHE ARAÇUAI,0.68,0,22.38,,,
2022-05-28 20:30:00,UHE ARAÇUAI,0.68,0,22.38,,,
2022-05-28 21:00:00,UHE ARAÇUAI,0.69,0,23,,,
2022-05-28 21:30:00,UHE ARAÇUAI,0.69,0,23,,,
2022-05-28 22:00:00,UHE ARAÇUAI,0.69,0,23,,,
2022-05-28 22:30:00,UHE ARAÇUAI,0.68,0,22.38,,,
2022-05-28 23:00:00,UHE ARAÇUAI,0.69,0,23,,,
2022-05-28 23:30:00,UHE ARAÇUAI,0.69,0,23,,,
2022-05-29 00:00:00,UHE ARAÇUAI,0.69,0,23,,,
2022-05-29 01:00:00,UHE ARAÇUAI,0.69,0,23,,,
