"mun_residencia";"01 - Janeiro/2021";"02 - Fevereiro/2020";"02 - Fevereiro/2021";"03 - Março/2020";"03 - Março/2021";"04 - Abril/2020";"04 - Abril/2021";"05 - Maio/2020";"05 - Maio/2021";"06 - Junho/2020";"06 - Junho/2021";"07 - Julho/2020";"07 - Julho/2021";"08 - Agosto/2020";"09 - Setembro/2020";"10 - Outubro/2020";"11 - Novembro/2020";"12 - Dezembro/2020"
"Acari";72;0;59;0;240;4;110;11;165;28;132;57;19;60;56;15;25;49
"Açu";376;0;294;13;1026;64;689;205;1518;538;910;746;90;512;247;108;320;274
"Afonso Bezerra";8;0;60;1;107;2;192;28;92;37;75;38;2;68;1;4;44;28
"Água Nova";5;0;3;1;4;1;1;1;24;2;81;15;6;9;3;25;81;58
"Alexandria";57;0;50;0;222;7;114;1;511;17;251;46;46;102;31;61;92;129
"Almino Afonso";138;0;24;0;113;1;41;12;54;5;8;4;1;10;12;11;39;36
"Alto do Rodrigues";83;0;38;2;352;7;454;112;458;181;207;196;11;57;47;152;67;90
"Angicos";36;0;123;0;160;4;177;21;201;103;66;62;0;26;8;15;56;20
"Antônio Martins";56;0;32;0;59;2;169;0;197;3;45;3;13;3;18;31;9;32
"Apodi";480;0;215;3;353;57;463;363;1094;524;497;463;62;696;521;209;236;210
"Areia Branca";125;0;225;2;509;75;342;374;329;178;165;142;36;100;53;24;78;78
"Arês";57;0;79;0;137;3;215;37;108;176;37;98;2;33;25;33;26;44
"Augusto Severo (Campo Grande)";0;0;3;0;0;0;3;0;2;0;1;2;0;0;0;0;1;0
"Baía Formosa";3;0;14;1;34;2;76;8;29;73;40;57;3;39;12;94;11;1
"Baraúna";9;0;30;0;64;16;126;145;255;118;336;139;64;131;21;26;76;39
"Barcelona";2;0;7;1;10;0;13;4;36;18;29;12;4;2;2;0;1;4
"Bento Fernandes";3;0;3;0;33;3;50;3;22;13;7;11;0;6;0;3;4;1
"Bodó";6;0;4;0;38;0;13;0;41;5;29;3;3;7;1;11;21;5
"Bom Jesus";101;0;65;0;130;2;67;30;103;56;96;31;30;23;6;31;88;69
